Index,Product Company Name: ,Product Name: ,Product MRP: ,Product Price: ,Dicount Information,Product Details ,Product Code,Seller Information,Source of Product
39,"""FIDO DIDO""","""Men Black Printed Polo Collar Slim Fit T-shirt""",Rs. 1099,Rs. 494,(55% OFF),"""{'Product Details ': '""Black printed T-shirt, has a polo collar, short sleeves.""', 'Size & Fit': '""Slim FitThe model (height 6\') is wearing a size M.""', 'Material & Care': '""Cotton  Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Printed,Pattern Coverage:Full-Front,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",2521204,Sold by: R.R.LIFESTYLES  R.R.LIFESTYLES ,"""Manufacturer/Packer/Importer Details::R R Lifestyles-----Country of origin::US-----"""
40,"""WROGN""","""Off-White & Green Lightweight Printed T-shirt""",Rs. 1099,Rs. 1099,0,"""{'Product Details ': '""Off-white and green printed T-shirt with ombre-dyed effect, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\' and shoulders 18"") is wearing a size M""', 'Material & Care': '""100% cotton Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Tie and Dye,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",1729573,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,Universal Sports Biz Pvt. Ltd.Next SCM solutions Pvt. Ltd.,#88/3, Seggehalli village, Kadugodi,BANGALORE,KARNATAKA,560067-----Country of origin::INDIA-----"""
41,"""Roadster""","""Men Black Solid Round Neck T-shirt""",Rs. 499,Rs. 274,(45% OFF),"""{'Product Details ': '""Black solid T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% cottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Raglan Sleeves,Surface Styling:Raw Edge,Wash Care:Machine Wash,""""'}""",2275352,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::MACFIT FASHIONS,NO-1,5/6 , SINGARAVELAN NAGAR,1ST STREET,SAKTHI THEATRE ROAD ,CHETTIPALAYAM,Tirupur,TAMILNADU,641603-----Country of origin::INDIA-----"""
42,"""Moda Rapido""","""Men White Printed Round Neck T-shirt""",Rs. 599,Rs. 419,(30% OFF),"""{'Product Details ': '""White printed T-shirt, has a round neck, and sleeveless""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Sleeveless,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11269098,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::RGT Fashions ,NETAJI SUBHASH NAGAR SOUTH P.O- GHOLA SODEPUR,KOLKATA - 700111,NETAJI SUBHASH NAGAR SOUTH P.OGHOLASODEPUR, KOLKATA -700111-----Country of origin::INDIA-----"""
43,"""GAS""","""Men Grey & Navy Striped Polo Collar T-shirt""",Rs. 3490,Rs. 3490,0,"""{'Product Details ': '""Grey and navy striped T-shirt, has a polo collar, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""83% cotton, 12% polyesterMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Striped,Print or Pattern Type:Striped,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",10001703,Sold by: Indiflashmart  Indiflashmart ,"""Manufacturer/Packer/Importer Details::Reliance Gas Lifestyle India Pvt. Ltd. Maker Towers-E,8Th Floor, Cuffe Parade, Mumbai,Maharashtra,400005-----Country of origin::India-----"""
44,"""Roadster""","""Men Grey & Maroon Colourblocked Round Neck T-Shirt""",Rs. 799,Rs. 439,(45% OFF),"""{'Product Details ': '""Grey, maroon and navy blue colourblocked waist length T-shirt, has a round neck, long sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Cotton blended  Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Colourblocked,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Colourblocked,Print or Pattern Type:Colourblocked,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",1673756,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::YES ENTERPRISES,2996/97,back side P.N.B Sunder Nagar,LUDHIANA,PUNJAB,141008-----Country of origin::INDIA-----"""
45,"""Puma""","""Men Black Solid IGNITE Drycell Running Round Neck T-shirt""",Rs. 1799,Rs. 1529,(15% OFF),"""{'Product Details ': '""Special Technologies:360 degree reflectivityDrycell: Technical fabrics wick moisture away from the skin to help keep you dry and comfortableProduct Design Details:Black solid T-shirthas a round neckshort sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% polyesterMachine Wash""', 'Specifications': '""""Fabric:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11448286,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::ELITE (INVESTMENT WORLD WIDE CO., LTD)1165, National Road 1A,An Phu Dong Ward, Dist. 12, HCM City, Vietnam. Postal Code: 70000ATTN: HUYNH THAO-----Country of origin::Vietnam-----"""
46,"""Kook N Keech Marvel""","""Men White Printed Captain America Round Neck T-shirt""",Rs. 599,Rs. 479,(20% OFF),"""{'Product Details ': '""White printed T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% CottonMachine-wash""', 'Specifications': '""""Character:Captain America,Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Graphic Print Others,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Superhero,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",8972445,Sold by: Indiflashmart  Indiflashmart ,"""Manufacturer/Packer/Importer Details::RADHA GOVINDA TEXTILE,NETAJI SUBHASH NAGAR SOUTH P.O- GHOLA SODEPUR, KOLKATA - 700111,NETAJI SUBHASH NAGAR SOUTH P.O- GHOLA SODEPUR, KOLKATA - 700111,NORTH24PARGANAS,WEST BENGAL,700111-----Country of origin::INDIA-----"""
47,"""UNDER ARMOUR""","""Men Charcoal Grey MK1 Short Sleeve Emboss T-shirt""",Rs. 2799,Rs. 2799,0,"""{'Product Details ': '""Special technologiesHeatGear\xa0fabric is ultra-soft and\xa0smooth for extreme comfort with very little weightMesh panels for strategic ventilationMaterial wicks sweat and dries really fastAnti-odor technology prevents the growth of odor-causing microbesProduct design detailsDropped, shaped hem for enhanced coverageRaglan sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""90% polyester, 10% elastaneMachine-wash""', 'Specifications': '""""Fabric:Polyester,Fabric 2:Elastane,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Checked,Print or Pattern Type:Checked,Sleeve Length:Short Sleeves,Sleeve Styling:Raglan Sleeves,Technology:Anti Odour,Wash Care:Machine Wash,""""'}""",10819042,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::VEGA TEXTILE LTD AL HUSSEIN BIN ABDULLAH II KARAK 61112-----Country of origin::Jordan-----"""
48,"""Calvin Klein Jeans""","""Men White Printed Round Neck T-shirt""",Rs. 4599,Rs. 4599,0,"""{'Product Details ': '""White printed T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""95% cotton, 5% elastaneMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Elastane,Fit:Slim Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",10267745,Sold by: Indiflashmart  Indiflashmart ,"""Manufacturer/Packer/Importer Details::Calvin Klein Arvind Fashion Private Limited, Vayudooth Chambers, 9Th Floor, 15 & 16, M.G.Road, Bangalore - 560001-----Country of origin::Cambodia-----"""
49,"""HRX by Hrithik Roshan""","""Men Lifestyle Full sleeve Crew Neck T-shirts""",Rs. 1199,Rs. 719,(40% OFF),"""{'Product Details ': '""A 100% cotton base gives the HRX Men\'s Lifestyle T-shirt a classic fit and feel. It\'s raglan sleeves make movement easy while the paneled print adds to its style appeal.Features:Bio washed cotton feels soft against the skinPrinted panel on shouldersNeck: Henley neckSleeve Style: RegularSleeve Length: Full sleeves""', 'Size & Fit': '""Regular fitThe model (height 6\') is wearing a size M""', 'Material & Care': '""100% cottonMachine-wash cold""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Utility or Military Inspired,Multipack Set:Single,Neck:Henley Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",8708745,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::Global Source Fashion Wear Pvt Ltd,129 Babtoy colony Avarangadu Thottham college road tirupur,129 Babtoy colony Avarangadu Thottham college road tirupur,TIRUPUR,TAMILNADU,641602-----Country of origin::INDIA-----"""
50,"""Roadster""","""Time Travlr Men White & Blue Striped Polo T-shirt""",Rs. 899,Rs. 494,(45% OFF),"""{'Product Details ': '""White and blue striped T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Cotton  Machine-wash""', 'Complete The Look': '""Liven up your collection of T-shirts with this high-end tee from Roadster.  This white item can be teamed with fitted jeans for a clean look or lounge shorts for casual weekend wear.""'}""",2304107,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::MAITRI KNITWEAR,Behind hp gas agencies,Vill-bajra,rahon road ludhiana,LUDHIANA,PUNJAB,141008-----Country of origin::INDIA-----"""
51,"""WROGN""","""Black Printed Slim Fit T-shirt""",Rs. 799,Rs. 519,(35% OFF),"""{'Product Details ': '""Black printed T-shirt, has a V-neck, short sleeves""', 'Size & Fit': '""Slim fitThe model (height 6\' and shoulders 18"") is wearing a size M""', 'Material & Care': '""100% cottonMachine-wash cold""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:V-Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",1320997,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,Universal Sports Biz Pvt. Ltd.Next SCM solutions Pvt. Ltd.,#88/3, Seggehalli village, Kadugodi,BANGALORE,KARNATAKA,560067-----Country of origin::INDIA-----"""
52,"""Roadster""","""Men Olive Green & Black Striped Polo Collar T-shirt""",Rs. 899,Rs. 494,(45% OFF),"""{'Product Details ': '""Olive green and black striped T-shirt, has a polo collar, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Cotton blendMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Striped,Print or Pattern Type:Striped,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",2304110,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::MAITRI KNITWEAR,Behind hp gas agencies,Vill-bajra,rahon road ludhiana,LUDHIANA,PUNJAB,141008-----Country of origin::INDIA-----"""
53,"""H&M""","""Men Black Solid Cotton T-shirt Regular Fit""",Rs. 399,Rs. 399,0,"""{'Product Details ': '""T-shirt in soft cotton jersey. Regular Fit.""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""60% Cotton, 40% PolyesterMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11468710,Sold by: H & M Hennes & Mauritz Retail Private Limited  H & M Hennes & Mauritz Retail Private Limited ,"""Manufacturer/Packer/Importer Details::Imported By : H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India-----Country of origin::Bangladesh-----"""
54,"""WROGN""","""Men Red Solid Polo T-shirt""",Rs. 1299,Rs. 1299,0,"""{'Product Details ': '""Red solid waist length T-shirt, has a polo collar, short sleeves""', 'Size & Fit': '""The model (height 6\' and shoulders 18"") is wearing a size M""', 'Material & Care': '""100% cotton  Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",1729585,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,Universal Sports Biz Pvt. Ltd.Next SCM solutions Pvt. Ltd.,#88/3, Seggehalli village, Kadugodi,BANGALORE,KARNATAKA,560067-----Country of origin::INDIA-----"""
55,"""Roadster""","""Men Grey Striped Round Neck T-shirt""",Rs. 599,Rs. 359,(40% OFF),"""{'Product Details ': '""Grey striped T-shirt, has a round neck, short sleevesManufacturing Info: Star apparelCountry of origin: India""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Cotton blendMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Blended,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Striped,Print or Pattern Type:Striped,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",2337956,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::STAR APPAREL,H.NO:B-24-3102/6/1, STREET NO.1,,NIRANKARI COLONY, SUNDER NAGAR,,LUDHIANA,PUNJAB,141007-----Country of origin::INDIA-----"""
56,"""WROGN""","""Men Teal Blue Striped Slim Fit Round Neck T-shirt""",Rs. 1199,Rs. 779,(35% OFF),"""{'Product Details ': '""Teal Blue striped T-shirt, has a round neck, and long sleeves""', 'Size & Fit': '""Slim FitThe model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:Multi or Variegated Stripes,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Striped,Print or Pattern Type:Striped,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11363172,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,NO. 500, 1st FLOOR, CMH ROAD, BINNAMANGALA, 2nd STAGE, INDIRANAGAR,,BANGALORE,KARNATAKA,560038-----Country of origin::India-----"""
57,"""H&M""","""Men Black Solid Long T-shirt""",Rs. 699,Rs. 699,0,"""{'Product Details ': '""Long, straight T-shirt in soft jersey in a relaxed fit with ribbing around the neckline and a very rounded hem.""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% CottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",10359989,Sold by: H & M Hennes & Mauritz Retail Private Limited  H & M Hennes & Mauritz Retail Private Limited ,"""Manufacturer/Packer/Importer Details::Manufactured By: SHIVALIK PRINTS LTD.PLOT NO. 48, Sector 6, 121006, Faridabad-----Country of origin::India-----"""
58,"""Roadster""","""Men Grey Melange All-Over-Printed T-shirt""",Rs. 699,Rs. 699,0,"""{'Product Details ': '""Grey melange and navy blue printed T-shirt, has a round neck, long sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""88% cotton and 12% polyesterMachine-wash""', 'Complete The Look': '""Pull over this snug tee to keep your style looking fresh.  This grey melange shirt is the perfect note to strike with a pair of skinny jeans when you\'re looking for a simple night out at the bars.""'}""",1997244,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::POPPYS APPARELS,NO.57, APPACHI NAGAR MAIN ROAD,TIRUPUR,TAMILNADU,641607-----Country of origin::INDIA-----"""
59,"""Donald Duck""","""Men Yellow Printed Round Neck T-shirt""",Rs. 649,Rs. 519,(20% OFF),"""{'Product Details ': '""Yellow printed waist length T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\' and shoulders 18"") is wearing a size M""', 'Material & Care': '""Cotton  Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Graphic Print Others,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Humour and Comic,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",1439758,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::CROSSROADS CLOTHING PVT LTD75/1, NEER NAGAR, BICHOLI HAPSI, MAYANK WATER PARK ROAD,INDORE,MADHYA PRADESH,452016-----Country of origin::India-----"""
60,"""Louis Philippe Jeans""","""Men Navy Blue Solid Polo Collar T-shirt""",Rs. 2199,Rs. 2199,0,"""{'Product Details ': '""Navy Blue solid T-shirt with embroidered detail, has a polo collar, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: Cotton Machine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Solid,Pattern Coverage:Placement,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Surface Styling:Embroidered,Wash Care:Machine Wash,""""'}""",11553032,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::NYLON HOSIERY MILLS CIVIL LINES,,CEMETRY ROAD 141001 LUDHIANA Punjab-----Country of origin::India-----"""
61,"""Calvin Klein Jeans""","""Men White Slim Fit Printed Round Neck T-shirt""",Rs. 3599,Rs. 3599,0,"""{'Product Details ': '""White printed T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""Slim fitThe model (height 6\') is wearing a size M""', 'Material & Care': '""95% cotton, 5% elastaneMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Elastane,Fit:Slim Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",10267697,Sold by: Indiflashmart  Indiflashmart ,"""Manufacturer/Packer/Importer Details::Calvin Klein Arvind Fashion Private Limited, Vayudooth Chambers, 9Th Floor, 15 & 16, M.G.Road, Bangalore - 560001-----Country of origin::China-----"""
62,"""DILLINGER""","""Men Teal Green & Black Striped Round Neck T-shirt""",Rs. 1099,Rs. 1099,0,"""{'Product Details ': '""Teal Green striped T-shirt, has a round neck, long sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% CottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Striped,Print or Pattern Type:Striped,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",7228323,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::Elcinco Inc - #17,Amarjothi Sathyamoorthy Nagar, 1st Street, Kangeyam Road, Tirupur. Ph- 98949 48947-----Country of origin::India-----"""
63,"""FIDO DIDO""","""Men Black Printed Polo Collar Slim Fit T-shirt""",Rs. 1099,Rs. 494,(55% OFF),"""{'Product Details ': '""Black printed T-shirt, has a polo collar, short sleeves.""', 'Size & Fit': '""Slim FitThe model (height 6\') is wearing a size M.""', 'Material & Care': '""Cotton  Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Printed,Pattern Coverage:Full-Front,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",2521204,Sold by: R.R.LIFESTYLES  R.R.LIFESTYLES ,"""Manufacturer/Packer/Importer Details::R R Lifestyles-----Country of origin::US-----"""
64,"""Roadster""","""Men Navy Blue Solid Round Neck T-shirt With Pocket""",Rs. 499,Rs. 274,(45% OFF),"""{'Product Details ': '""Navy Blue solid T-shirt, has a round neck, short sleeves, and 1 pocket""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: Cotton Machine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Number of Pockets:1,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Surface Styling:Pockets,Wash Care:Machine Wash,""""'}""",10424686,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::GINNI FILAMENTS LTD., Corporate Office & Garment Unit. D-196, Sector – 63,. Noida -201307.-----Country of origin::India-----"""
65,"""UNDER ARMOUR""","""Charcoal Grey Pinstriped Threadborne Match Jersey""",Rs. 2999,Rs. 2999,0,"""{'Product Details ': '""Special technologiesUA Microthread technology in the fabric dries faster, won\'t cling to you, won\'t chafe and stretches without absorbing sweatHeatGear(r) fabric is ultra-soft & smooth for extreme comfort with very little weightStretch-mesh back panel delivers strategic ventilation4-way stretch construction moves better in every directionMaterial wicks sweat & dries really fastAnti-odor technology prevents the growth of odor causing microbesProduct design detailsCharcoal grey pinstriped jerseyhas V-neck\xa0short sleevesNext-to-skin without the squeeze""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% polyesterMachine-wash""', 'Specifications': '""""Fabric:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:V-Neck,Occasion:Sports,Pattern:Striped,Print or Pattern Type:Striped,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Technology:Anti Odour,Wash Care:Machine Wash,""""'}""",7605746,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::Gimmill Pte Ltd Wuzhong Economic Development Zone Suzhou-215124-----Country of origin::China-----"""
66,"""Moda Rapido""","""Men Black Printed T-shirt""",Rs. 599,Rs. 479,(20% OFF),"""{'Product Details ': '""Black printed  T-shirt, has a round neck, long sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% cotton Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",2040454,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::SHRI GANAPATHI SOURSES,115/2 Behind SSK Knit Printers, Palladam Road, Mangalam, Tripur,TIRUPPUR,TAMILNADU,641663-----Country of origin::INDIA-----"""
67,"""SINGLE""","""Men Blue & White Striped Polo Collar T-shirt""",Rs. 1399,Rs. 909,(35% OFF),"""{'Product Details ': '""Blue and White striped T-shirt, has a polo collar, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Striped,Pattern Coverage:All-Over,Print or Pattern Type:Striped,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11433566,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,NO. 500, 1st FLOOR, CMH ROAD, BINNAMANGALA, 2nd STAGE, INDIRANAGAR,,BANGALORE,KARNATAKA,560038-----Country of origin::India-----"""
68,"""Roadster""","""Men Mustard Yellow & Coffee Brown Printed Round Neck T-shirt""",Rs. 499,Rs. 349,(30% OFF),"""{'Product Details ': '""Mustard yellow and Coffee Brown printed T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: Cotton Machine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Graphic,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11126648,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::YES ENTERPRISES2996/97,back side P.N.B Sunder Nagar-LUDHIANA-PUNJAB-141008-----Country of origin::INDIA-----"""
